発話者名	発話開始時間	発話終了時間	書き起こしテキスト
オペレータ	00:01.37	00:04.23	本日は、ご利用いただきまして、ありがとうございます。
カスタマー	00:05.00	00:06.34	よろしくお願いします。
オペレータ	00:06.52	00:07.65	よろしくお願いいたします。
オペレータ	00:08.00	00:11.29	お客様、今日は、ご旅行のご相談で、よろしいでしょうか？
カスタマー	00:12.30	00:12.60	はい。
オペレータ	00:13.54	00:14.64	ありがとうございます。
オペレータ	00:14.98	00:17.67	お客様、ご旅行は、どちらに行かれますでしょうか？
カスタマー	00:19.10	00:28.21	九州、に行きたいんですが、<>、えー、九州の北の方、博多を中心に、お願いしたいと思います。
オペレータ	00:21.61	00:21.73	はい。
オペレータ	00:24.63	00:24.81	ええ。
オペレータ	00:26.50	00:26.64	はい。
オペレータ	00:28.86	00:29.78	かしこまりました。
オペレータ	00:30.10	00:35.60	それではお客様の後旅行先は、九州の、福岡県の、博多で、よろしいでしょうか？
カスタマー	00:36.03	00:36.69	そうです。
オペレータ	00:37.38	00:38.22	かしこまりました。
オペレータ	00:38.82	00:42.30	ではお客様、ご旅行なさる、時期はもう、お決まりでしょうか？
カスタマー	00:43.29	00:53.03	春に行きたいんですが、<>たら、寒くない、四月から五月、<>春、に、行きたいと思っています。
オペレータ	00:45.28	00:45.47	はい。
オペレータ	00:48.50	00:48.68	ええ。
オペレータ	00:50.33	00:50.51	ええ。
オペレータ	00:51.72	00:51.85	ええ。
オペレータ	00:53.82	00:54.67	かしこまりました。
オペレータ	00:54.82	01:01.15	それでは、ご旅行なさる時期は、春の、特に暖かい、四月から五月、でございますね。
カスタマー	01:01.68	01:03.22	はい、その通りです。
オペレータ	01:03.88	01:04.78	かしこまりました。
オペレータ	01:04.83	01:07.54	では、何名様での、ご旅行となりますでしょうか？
カスタマー	01:08.02	01:10.65	妻と二人で旅行したいと思っています。
オペレータ	01:11.62	01:12.59	かしこまりました。
オペレータ	01:12.60	01:16.45	では、奥様と、二名様でのご旅行ということでございますね。
 カスタマー	01:16.87	01:17.24	はい。
オペレータ	01:18.07	01:18.25	はい。
オペレータ	01:18.71	01:35.93	それでは、今回の、ご旅行のご相談は、九州の、福岡県、博多、へのご旅行で、ご旅行の時期が、春の、四月から五月頃、そして、ご旅行なさる人数が、二名様で、奥様とご一緒ということで、おまちがいないでしょうか？
カスタマー	01:36.30	01:37.61	はい、まちがいないです。
オペレータ	01:38.24	01:39.08	かしこまりました。
オペレータ	01:39.47	01:42.19	それでは、ご旅行先を、お調べいたします。
