text,label
お客様、今日は、ご旅行のご相談でよろしいでしょうか？,0
ええ、そうなんです。なにかどこか行か、行きたいなと思ってもなかなか、じれ、ま、あの、細かい、あのこう、ことが考えられないので、ご相談に伺いました。,1
ええ、それではお客様のご旅行に最適な場所をお探しいたしますので、よろしくお願いいたします。,0
はい、はい、お願いします。,1
はい、ではお客様、どういった場所をご覧になってみたいかとか、大まかなアイディアはございますか？,0
はい、あの、いろんなとこ行ったんですけど、鳥取県だけがちょっと行ったことがなくて、それで、あの、是非とも有名な砂丘を見たいなって思ってます。,1
ええ、ええ。,0
もう、ええ。,1
かしこまりました。,0
ええ。,1
あと、砂丘を見て、美味しいものを食べて、温泉に浸かりたいなって思ってるんですけど。,1
ええ。,0
ではお客様のご要望をおまとめいたしますと。,0
はい。,1
はい、まず行き先としてはだいたい鳥取県というところまでは、決まっているんだけれども、行きたい場所は結構、ええ、砂丘であったり、美味しいものをお召し上がりになったり、あるいは温泉をお楽しみになったり、ということで、ま、いろいろあるので、そのへんをうまくプランなさりたい、というご要望でお間違いないでしょうか？,0
うん、はい、そうです。,1
かしこまりました。ありがとうございます。ではまずは砂丘の方から確認いたしましょうか。,0
はい。,1
はい、それではお客様こちら画面をご覧くださいませ。,0
はい。,1
まず砂丘というキーワードでこちらお調べいたしますね。,0
はい。,1
そうしますと、こちら、6番、ご覧くださいませ。,0
うん、うん、はい。,1
こちらお客様がご覧になりたい鳥取砂丘でお間違いないでしょうか。,0
はい、間違いないです。これですね、はい。,1
はい、こちらでは詳細の、ご説明、ご覧に入れますね。,0
はい。,1
はい。まず、こちら地図をご覧ください。,0
はい。,1
お客様こちら、全面黄色と、ひひっ、なっておりますけれども。,0
はい、はい、はい。,1
こちらはあの砂丘ということでございますね。,0
ええ、ええ、ええ。,1
こちらはあの、航空写真をご覧くださいませ。,0
はい。,1
はい、こうしますと、より、砂丘があるという感じ、確認いただけるかと思います。,0
はい。,1
はい。,0
このような場所でございますね。,0
うん、はい。,1
お客様、こちらへご旅行なさりたいということで、イメージ通りでしょうか？,0
はい。,1
はい、こちらあの東西に16キロ広がっておりまして、南北が2てん4キロ。,0
はい。,1
ですので結構、広い場所でございますね。,0
そうですねえ、うんうん。,1
ええ、ですので、歩いてまわることもできるんですけれども、こちらご覧ください、ラクダでの遊覧でしたり、空中散歩で砂丘を眺める観光リフトもございます。,0
ほおおお。,1
そうなりますとお客様、いかがでしょうか、こちら、歩いておまわりになるのと、あるいはラクダにお乗りになるとか。,0
両方乗ってみたいね。,1
ラクダにも乗りたいし、なんか観光、なんだ空中散歩、もやってみたいねえ。,1
ではお客様、まずラクダの方からご案内してもよろしいですか？,0
はい、お願いします。,1
ではこちらちょっとラクダで絞ってみますね。,0
はい。,1
ええ、ラクダ、あとま先ほどの砂丘と入力しまして。,0
お客様、こちらをご覧くださいませ。,0
はい。,1
はい、らくだやというお店でございますね。,0
ふーん。,1
こちらがラクダに乗って砂丘観光ができる施設となっております。,0
はい。,1
でこちら、らくだ体験の方はですね、こちらの営業時間、ご覧くださいませ。,0
はい。,1
9時30分から夕方の4時30分。,0
はい。,1
ただし12月から2月までは10時から4時までとなっております。,0
ふーん、はい、はい。,1
お客様、こちら、ご旅行なさるのは、何名様でしょうか。,0
ん、夫と二人です。,1
あ、左様でございますか。,0
ではこちら、2人乗りですと。,0
はい。,1
だいたい1回4分から5分の。,0
ええ。,1
らくだ体験となりますけれども、2600円となっております。,0
ああそうですか、はい。,1
こちらいかがでしょうか？,0
うーん、さっきの空中散歩はいくらぐらいなんですか、何分で？,1
かしこまりました、はい、では、リフトの方でございますね、こちらお調べしますね。,0
はい、ではお客様こちら2番ご覧くださいませ。,0
砂丘観光リフトとございます。,0
はい。,1
はい、こちらはですね、リフトということですので。,0
はい。,1
こちらの、おそらく、えー、砂丘から、砂丘の入口からですね、えー、そこからこの砂丘センターの横の間を結んでいるリフトとなっております。,0
はい。,1
えぇ、片道5分程度の空中遊覧となっておりますので。,0
はい、お時間的にはですね、ラクダの、ええ、乗ってみる体験と、こちらのリフトを乗ってみる体験、どちらも合わせてお楽しみいただくと、はい、鳥取砂丘を堪能できるかと思います。,0
ええ、うん、あーうん、はい、はーい、うんうんうん。,1
え、これ、いくら、料金はいくらですか、リフト？,1
はい、こちら、お代金の方が、往復でおひとり様300円となっております。,0
はい、あ、ああ、そうなんだねえ。,1
はい。,0
あ、じゃあラクダとこっちリフトり両方、一応申し込もうかなあ。,1
かしこまりました、ではこちらの砂丘観光リフト、と、先ほどございました、ラクダの方でございますね、もう一度こちらご覧に入れますね。,0
はい。,1
はい、こちらのらくだやさんの方でございますね。,0
はい。,1
こちらをでは観光先の方に2か所、記載いたします、よろしいでしょうか？,0
はい、はい。,1
あとひとつ質問なんですけど、なにかハンググライダーみたいのもあるとかっていうの聞いたんですけど、それはないでしょうかね。,1
じゃ、少々、お待ちいただけますか？,0
ハング、グライダーでございますね。,0
えっとグライダーで、お調べしてみましょうか。,0
ちょっとグライダーというものは砂丘ではですね、私どもの方のリストではございませんけ、あ、こちらでございますかね、1番。,0
うん、うん、あったこれだわきっと、なに？,1
はい、あるいは2番にも、パラグライダースクールというものがございますね。,0
ああ、はあ、はあ、うーん。,1
こちら詳細、ご覧に入れましょうか。,0
すいません、なんか主人が一度やってみたい、娘が前に行って、や、こ、やって主人もやりたいって言ってるので、その、うぉっか。,1
あ、左様でございますか、おそらくこのお写真の方に写っているようなイメージかと思いますけれども、ま、こちらでお間違いないですよね。,0
うん、そうですね、はいはい。,1
では詳細の方、ご覧に入れますね。,0
はい。,1
はい、先ほどのですね、らくだやさんとか、あるいはリフトの場所の、こちら、連なっている道路にございますので、その点でもちょうどよろしいかと思います。,0
そうですね、はい。,1
はい、あとこちら、半日スクールですと7000円程度、かかりますので、ちょっとお値段的には、あの、少し、値が張ってしまいますけれども。,0
ああ、そうですね、うーん。,1
もちろんこういったものが、ええ、ございますことには、確かでございます。,0
