text,label
お客様はご旅行のご相談でよろしいでしょうか？,0
はい、そうです。,1
かしこまりました、ありがとうございます。,0
お客様はどちらへご旅行なさいますか？,0
あ、今のところ九州を予定しております。,1
うん、九州でございますね。,0
はい。,1
かしこまりました、では何名様でのご旅行となりますか？,0
あ、4名となります。,1
4名様でございますね、はい。,0
ではこちらの4名様にはお子様は含まれておりますか？,0
あ、含んでおります。,1
はい、ではお子様は何名様になりますでしょうか？,0
あ、2名になります。,1
それではお子様が2名様で、合計4名様ということでございますね、かしこまりました。,0
では、いつ頃ご旅行なさいますか？,0
えーとー、春を予定してます。,1
春でございますね、かしこまりました,0
では本日は九州へのご旅行で、えー時期が春。,0
なさる人数が4名様ということで承りますので、よろしくお願いいたします。,0
あ、お願いしまーす。,1
はい、それでは九州、結構広くてですね、えー七つか八つの県があるんですけれども。,0
はい、はい、はい。,1
どちらかご希望ございますか？,0
そうなんですよねー色々、はい。,1
あるいはお客様、例えばあの、ことをしたいからそれにピッタリの県を探してくれみたいなご要望でも大丈夫ですよ。,0
あ、なるほど。,1
えっとですねー九州は、実は私はちゃんと旅行として行ったことがないので。,1
あーそうなんですか！,0
そうなんですよねー。えっと、イメージとしてはあるんですけど。,1
うん、うん。,0
うーん、逆になんだろうな、そうですね。,1
うーん、難しいな。ふふっ。,1
お客様あの、今回九州に行ってみたいと思われたということで、またどうして九州という風に思いつか。,0
あ、それは、自分の親の出身地がながさ、長崎なんですね。,1
ええ。あー。ええ、ええ、ええ。ええ。,0
なので、あのー長崎もしくは九州の他の県をこう比較して、相談した上で決めたいなと思いました。,1
ええ。ええ。あ、なるほど。,0
では例えばまず長崎についてどこがいい場所がないかお調べしてみましょうか。,0
あ、はい、お願いいたします。,1
はい。ではこちら長崎県でお調べいたしますね。,0
例えば長崎ですと、結構エリアもまた色々ございまして、親子様の例えばゆかりの場所とかがよろしいですか？,0
何市とかございましたら、あのこちらで。,0
そうですね、まず子供が楽しめる場所がいいですかね。,1
ええ、ええ。かしこまりました。,0
では、お子様向けの場所でございますね。,0
はい。,1
はい。えー例えばですね、まあ歴史はお子様お好きでしょうか。,0
