text,label
こんにちは。,1
本日はご利用いただきまして、ありがとうございます。,0
おざっす。,1
えっと、今回はどのようなご旅行をご希望ですか？,0
あのー、一人旅で青森。,1
はい。青森でございますか？,0
はい。,1
はい。えーと、季節とかにご希望ございますか？,0
あのー、夏です。,1
特に、あのー、この青森で何かされたいこととかっていうのは、もう決まってらっしゃるんですか？,0
一応、まあ、スケッチをしたいかなっていう。,1
あ、はい。,0
これも、だから、いろんな場所、いい場所があれば。,1
まあ、違う景色、うん。,1
青森県であればよろしいですか？,0
青森、うん、そうだね。,1
特に、あの、歴史があるとか。,0
あれが、あの、なんだっけ。恐山って、あの、わか、分かりますかね？恐山。,1
お、おそそ、恐山でございますか。少々お待ちください。,0
青森県、おそ、おそ、はい。,1
恐山、確か恐山てのが、ちょっと興味があって、と、ん…。,1
ああ、ああ。,0
フッ、あ、あ、これか。え？え、これ？あ、これなの？え、何？若返りの水？,1
アハハ。恐山で今検索かけたんですけども。,0
ふーん。,1
違うのかなあ。あ、これ、ぼだ、菩提寺、恐山菩提寺となってるんで。,0
ああ、お寺、お寺ね、これは。,1
はい。,0
いや、恐山って、恐山って、俺も、よく分かんないんで、ですけど、あのー、島じゃないよなあ。,1
地域の名前？,1
あの、こちらは、あのー、高野山、比叡山と並ぶ日本の三大霊場の一つって、か、恐山なんですけれども、あのー、ん、ま、最終的には荒涼とした風景が広がるっていうことなので、あの、多分、この。,0
うんうんうん。,1
こ、あ、そ、言わ、言われているような、そのー、恐山の風景が見られると思うんですけども。,0
うーん。この、あの、さっきのお寺？,1
はい。,0
これ、何て読むような漢字だっけ？,1
恐山のぼだ、ぼ。,0
ここにちょっと、いっ、い…。,1
菩提寺ですね。,0
ここ、行ってみますか？,0
これ、こ、恐山が、その、場所はどこだっけ？どの辺だっけな。,1
あ、この辺ね。,1
あ、はい。,0
この、あ、あ、赤い。,1
そうです。はい。ここです。,0
ですよね。,1
はい。,0
ていうことは、やっぱりお寺とかにちょっと。,1
前、ちょっと仕事じゃないんですけど、い、行こうかって言って結局、い、行けなかったので。,1
ちょっと行ってみたいと思って、今ちょっと思ったんですけど。フッ。,1
なんか地獄谷や賽ノ河原などと呼ばれる白茶け、荒涼した風景って書いてますね。,0
うーん。,1
え、この、お、菩提寺の近くが、あのー、なんかそういう地獄みたいなところなんじゃないんですかね？,0
うーん。そこにちょっと行ってみたいっていうか。,1
みますか？はい。,0
うん。,1
